no	trial	design	participant	group	session	date	name	opacity	rt	trial_order	repet	is.rep	orig	tot	abs	rel	cond
173	24	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_2','bar_7_5'	1	3.59722495079041	0	4	0	36	40	90	90	sham
174	24	8	11	a	3	2022_Sep_22_1037	'bar_8_8','bar_8_6'	1	4.02362585067749	1	1	0	39	40	97.5	97.5	sham
175	25	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_8'	1	1.33142495155334	2	3	0	36	39	90	92.3076923076923	sham
176	25	7	11	a	3	2022_Sep_22_1037	'bar_7_1','bar_7_6','bar_7_2','bar_7_7'	1	2.69122385978699	0	4	0	36	40	90	90	sham
177	25	8	11	a	3	2022_Sep_22_1037	'bar_8_3','bar_8_8','bar_8_7'	1	1.41270685195923	1	1	0	39	40	97.5	97.5	sham
178	26	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_5'	1	1.70451807975769	2	3	0	36	39	90	92.3076923076923	sham
179	26	7	11	a	3	2022_Sep_22_1037	'bar_7_3','bar_7_7'	1	3.11813592910767	0	4	1	36	40	90	90	sham
180	26	8	11	a	3	2022_Sep_22_1037	'bar_8_3','bar_8_8','bar_8_5'	1	1.4909930229187	1	1	0	39	40	97.5	97.5	sham
181	27	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_3'	1	2.58424687385559	2	3	0	36	39	90	92.3076923076923	sham
182	27	7	11	a	3	2022_Sep_22_1037	'bar_7_3','bar_7_1'	1	1.59784007072449	0	4	1	36	40	90	90	sham
183	27	8	11	a	3	2022_Sep_22_1037	'bar_8_3','bar_8_8','bar_8_4'	1	2.07754898071289	1	1	0	39	40	97.5	97.5	sham
184	28	1	11	a	3	2022_Sep_22_1037	'bar_1_3','bar_1_4','bar_1_6'	1	2.18483185768127	2	3	0	36	39	90	92.3076923076923	sham
185	28	7	11	a	3	2022_Sep_22_1037	'bar_7_3','bar_7_6'	1	2.18421196937561	0	4	0	36	40	90	90	sham
186	28	8	11	a	3	2022_Sep_22_1037	'bar_8_3','bar_8_8','bar_8_1'	1	2.21204304695129	1	1	0	39	40	97.5	97.5	sham
187	29	1	11	a	3	2022_Sep_22_1037	'bar_1_4','bar_1_8'	1	1.75793600082397	2	3	1	36	39	90	92.3076923076923	sham
188	29	7	11	a	3	2022_Sep_22_1037	'bar_7_3','bar_7_8'	1	1.22569704055786	0	4	0	36	40	90	90	sham
189	29	8	11	a	3	2022_Sep_22_1037	'bar_8_3','bar_8_4','bar_8_7'	1	4.2899010181427	1	1	1	39	40	97.5	97.5	sham
190	3	1	11	a	3	2022_Sep_22_1037	'bar_1_4'	1	0.746092081069946	2	3	0	36	39	90	92.3076923076923	sham
